scientific_name	invasive
Abelia X	false
Abelmoschus esculentus	false
Abelmoschus manihot	false
Abies alba	true
Abies firma	false
Abies homolepis	false
Abrus precatorius	true
Abutilon hirtum	true
Abutilon pictum	false
Abutilon theophrasti	true
Acacia auriculiformis	true
Acacia baileyana	true
Acacia cultriformis	false
Acacia cyclops	true
Acacia dealbata	true
Acacia decurrens	true
Acacia elata	true
Acacia longifolia	true
Acacia mearnsii	true
Acacia melanoxylon	true
Acacia paradoxa	true
Acacia podalyriifolia	true
Acacia pycnantha	true
Acacia redolens	false
Acacia retinodes	true
Acacia saligna	true
Acacia verticillata	true
Acaena magellanica	true
Acaena novae-zelandiae	false
Acaena pallida	false
Acalypha alopecuroidea	false
Acalypha arvensis	false
Acalypha australis	true
Acalypha wilkesiana	false
Acanthospermum australe	true
Acanthospermum hispidum	true
Acanthospermum humile	false
Acanthus mollis	true
Acer campestre	false
Acer ginnala	false
Acer japonicum	false
Acer palmatum	true
Acer platanoides	true
Acer pseudoplatanus	true
Acer tataricum	false
Achillea ageratum	false
Achillea distans	false
Achillea filipendulina	true
Achillea ligustica	false
Achillea nobilis	true
Achillea ptarmica	true
Achnatherum capense	false
Achyranthes aspera	true
Achyranthes japonica	true
Acicarpha tribuloides	false
Acmella decumbens	false
Acmella pilosa	false
Acmella pusilla	false
Aconitum carmichaelii	false
Aconitum napellus	false
Aconogonon campanulatum	false
Acorus calamus	true
Acrachne racemosa	false
Acrocomia totai	false
Actaea spicata	false
Actinidia arguta	false
Actinidia chinensis	false
Actinidia polygama	false
Adenanthera pavonina	true
Adiantum caudatum	false
Adiantum hispidulum	true
Adiantum macrophyllum	true
Adiantum trapeziforme	false
Adonis aestivalis	false
Adonis annua	false
Adonis vernalis	false
Aegilops crassa	false
Aegilops cylindrica	true
Aegilops geniculata	false
Aegilops neglecta	false
Aegilops tauschii	true
Aegilops triuncialis	true
Aegopodium podagraria	true
Aeluropus littoralis	false
Aeonium arboreum	false
Aeonium haworthii	false
Aeschynomene evenia	false
Aeschynomene fluitans	false
Aeschynomene histrix	false
Aesculus X	false
Aesculus hippocastanum	false
Aethusa cynapium	false
Agapanthus praecox	false
Agastache rugosa	false
Agave attenuata	false
Agave desmettiana	false
Agave sisalana	true
Agave weberi	false
Agdestis clematidea	true
Ageratina adenophora	true
Ageratum conyzoides	true
Ageratum houstonianum	true
Aglaonema commutatum	true
Agrimonia eupatoria	false
Agropyron cristatum	true
Agropyron desertorum	true
Agropyron fragile	false
Agrostemma brachyloba	false
Agrostemma githago	true
Agrostis capillaris	true
Agrostis castellana	true
Agrostis gigantea	true
Agrostis stolonifera	true
Ailanthus altissima	true
Aira caryophyllea	true
Aira cupaniana	false
Aira elegantissima	false
Aira praecox	false
Ajuga chamaepitys	false
Ajuga genevensis	false
Ajuga pyramidalis	false
Ajuga reptans	false
Akebia X	false
Akebia quinata	true
Albizia julibrissin	true
Albizia lebbeck	true
Albizia lebbekoides	false
Albizia procera	true
Alcea rosea	true
Alchemilla mollis	false
Alchemilla monticola	false
Alchemilla subcrenata	false
Aldrovanda vesiculosa	false
Aleurites moluccanus	true
Alhagi maurorum	true
Alisma lanceolatum	false
Alisma plantago-aquatica	true
Allamanda cathartica	true
Alliaria petiolata	true
Allium ampeloprasum	false
Allium atroviolaceum	false
Allium cepa	false
Allium fistulosum	false
Allium hollandicum	false
Allium neapolitanum	false
Allium nigrum	false
Allium oleraceum	false
Allium paniculatum	false
Allium porrum	false
Allium rotundum	false
Allium sativum	true
Allium schoenoprasum	false
Allium scorodoprasum	false
Allium sphaerocephalon	false
Allium triquetrum	true
Allium tuberosum	false
Allium vineale	true
Alloteropsis cimicina	false
Alnus cordata	false
Alnus glutinosa	true
Alocasia macrorrhizos	true
Alocasia odora	false
Aloe X	false
Aloe striatula	false
Aloe vera	true
Alopecurus arundinaceus	true
Alopecurus creticus	false
Alopecurus geniculatus	true
Alopecurus myosuroides	true
Alopecurus pratensis	true
Alopecurus rendlei	false
Aloysia citrodora	false
Alpinia zerumbet	true
Alstonia macrophylla	true
Alstonia scholaris	false
Alstroemeria haemantha	false
Alstroemeria pulchella	false
Alternanthera brasiliana	true
Alternanthera caracasana	false
Alternanthera ficoidea	true
Alternanthera paronychioides	true
Alternanthera philoxeroides	true
Alternanthera pungens	true
Alternanthera sessilis	true
Althaea armeniaca	false
Althaea cannabina	false
Althaea hirsuta	false
Althaea officinalis	false
Alysicarpus ovalifolius	false
Alysicarpus rugosus	false
Alysicarpus vaginalis	true
Alyssum alyssoides	true
Alyssum corsicum	false
Alyssum desertorum	false
Alyssum murale	false
Alyssum simplex	false
